Time (s);Linear Acceleration x (m/s^2);Linear Acceleration y (m/s^2);Linear Acceleration z (m/s^2);Absolute acceleration (m/s^2)
1,798886708;-0,112580445;-1,021260799;-0,257431855;1,059206843
1,808970708;0,190587692;-0,933817735;-0,338737389;1,011475284
1,819054708;0,243616675;-0,766174116;-0,599103377;1,00264486
1,829138708;0,153605697;-0,475060836;-0,873144833;1,005812809
1,839222708;0,096540308;-0,282328861;-1,114161215;1,153423092
1,849305708;0,11789825;-0,136850866;-1,446306453;1,457542628
1,859389708;0,122896779;-0,054835919;-1,824810755;1,829766348
1,869473708;0,126572777;-0,028513801;-2,063357858;2,067433035
1,879557708;0,124637056;0,105124605;-2,159290786;2,165438126
1,889641708;0,028696746;0,257866303;-2,204933567;2,22014652
1,899725708;-0,092371243;0,324763567;-2,202982351;2,228707038
1,909809708;-0,192310355;0,472549311;-2,005205544;2,069090476
1,919893708;-0,166534037;0,560361334;-1,907249479;1,994828059
1,929977708;-0,176284379;0,507909909;-1,916230218;1,990222828
1,940061667;-0,223472104;0,446153664;-1,76421489;1,833424951
1,950145667;-0,23573916;0,514054748;-1,419541993;1,528046041
1,960229667;-0,235280921;0,590190905;-1,081710922;1,254504259
1,970313667;-0,291069315;0,589472867;-0,765794631;1,009277476
1,980396667;-0,355649145;0,675535987;-0,537066173;0,933421265
1,990480667;-0,364845682;0,678133028;-0,51571565;0,926789839
2,000564667;-0,329953153;0,689442274;-0,416975473;0,870671165
2,010648667;-0,375794483;0,790711079;-0,209850723;0,900268199
2,020732667;-0,558782695;0,946416877;0,090387429;1,102775087
2,030816667;-0,668152416;1,092401971;0,444288987;1,355419648
2,040900667;-0,638500746;1,077139423;0,749570362;1,459372559
2,050984667;-0,62699518;1,116066238;1,018972052;1,636163453
2,061068667;-0,448501687;1,117082922;1,166433569;1,676184742
2,071152667;-0,374535213;1,135909056;1,111155746;1,632554165
2,081236667;-0,435954366;1,32059614;0,992947265;1,70879333
2,091320667;-0,328211451;1,285223848;0,838293089;1,5691585
2,101404667;-0,182456188;1,225052344;1,014566175;1,601058409
2,111488667;-0,026388576;1,265622519;1,095950646;1,674396768
2,121571667;0,009056789;1,096546916;1,202578132;1,627480055
2,131655667;0,119146594;0,930198016;1,503021521;1,771591926
2,141739667;0,248129703;0,805186885;1,94318939;2,117989442
2,151823667;0,298922875;0,60371493;2,538320754;2,626194747
2,161907667;0,175771907;0,524280066;3,237592782;3,284474444
2,171991667;0,001782807;0,601229863;3,934431784;3,980104771
2,182075667;-0,072737791;0,687242698;3,905624306;3,966294812
2,192159667;0,17229846;0,634152172;3,115345044;3,183898629
2,202243667;0,369586312;0,624556014;2,577770163;2,677977459
2,212327667;0,312698349;0,551201524;2,677326027;2,751304787
2,222411667;0,358929798;0,348962269;2,560278803;2,608760781
2,232495667;0,601723003;-0,149994969;1,725950711;1,833977895
2,242579667;0,855910019;-0,605222927;0,987518125;1,440162768
2,252663667;0,807002445;-0,862323245;0,831895065;1,444611963
2,262747667;0,427488767;-0,960966796;0,923298156;1,399529676
2,272830667;0,325587439;-0,787902661;0,626927937;1,058223239
2,282914667;0,194755331;-0,737210371;0,393014753;0,857828285
2,292998667;0,000565389;-0,805602329;0,027174935;0,806060736
2,303082667;0,142919582;-0,894336897;-1,462263504;1,720022979
2,313166667;0,509711765;-1,146233193;-2,224701249;2,554007099
2,323250667;0,885499415;-1,072658701;-2,520696661;2,878995929
2,333334667;1,249063935;-1,464674457;-2,804200081;3,401318873
2,343418667;1,624179338;-1,570226786;-2,668846979;3,496614774
2,353502667;1,852631807;-1,806956428;-2,204232486;3,399408331
2,363586667;2,061073351;-2,131632725;-1,904308915;3,523957133
2,373670667;1,647424066;-1,732667407;-1,793017105;2,988486697
2,383754667;1,003765929;-1,095948746;-1,740804977;2,288897478
2,393838667;0,506716639;-0,633897087;-1,646569496;1,83569561
2,403922667;0,013391248;-0,446815861;-1,245330634;1,323129671
2,414006667;-0,304994624;-0,453041684;-0,561722127;0,783454042
2,424089667;-0,232140199;-0,384573274;-0,252184564;0,515153112
2,434173667;-0,113652477;-0,169270607;-0,435493605;0,480857676
2,444257667;-0,066110813;0,074561501;-0,896447157;0,901968714
2,454341667;0,015418121;0,200664454;-1,767920855;1,779339229
2,464425667;-0,181155713;0,378077017;-2,323057263;2,360583545
2,474509667;-0,330209627;0,629801551;-2,499891098;2,599065966
2,484593667;-0,224608382;0,773742898;-2,464790847;2,593129561
2,494677667;-0,097225949;0,773647442;-2,089803645;2,230529651
2,504761667;-0,058952286;0,79084995;-1,87604172;2,036774791
2,514845667;0,092438084;0,864279723;-1,999416801;2,180181594
2,524929667;0,151514313;0,789835751;-2,08325184;2,233099937
2,535013667;-0,006300411;0,683012676;-2,054087098;2,164675453
2,545097667;0,10447688;0,785020715;-1,768312619;1,937550634
2,555181667;0,195653939;0,859506349;-1,454056352;1,700385692
2,565265667;0,095589139;0,862328361;-1,046862102;1,359657216
2,575349667;0,027911549;0,807818716;-0,798547225;1,136234044
2,585433667;0,039349642;0,666825829;-0,527986032;0,851454244
2,595516667;0,201136069;0,550355579;-0,201235435;0,619550386
2,605600667;0,337344728;0,498071676;0,122378715;0,613883874
2,615684667;0,549811239;0,643348088;0,3373592;0,911043573
2,625768667;0,761753401;0,791998051;0,217003037;1,120097976
2,635852667;0,270232616;0,979879176;0,190711032;1,034195129
2,645936667;-0,13116698;1,084834651;0,46582896;1,187883671
2,656020667;-0,147617445;0,705154473;1,079028804;1,297434739
2,666104667;-0,218647237;0,380938498;1,385760874;1,45370353
2,676188667;-0,392903436;0,452564697;1,553889958;1,665461473
2,686272667;-0,356733182;0,614462551;1,524430516;1,681877281
2,696356667;-0,009941893;0,715021796;1,256891164;1,446074137
2,706440667;0,607402915;0,741012962;1,311248635;1,624010928
2,716524667;1,106941804;0,680190517;1,820362194;2,236447588
2,726608667;0,819331884;0,687162883;2,227813722;2,471164006
2,736692667;0,309498058;0,663278615;2,725570233;2,822137606
2,746776667;0,277295907;0,54652346;3,058674999;3,119466888
2,756860667;0,317045827;0,420753359;3,185749029;3,229016618
2,766944667;0,221504424;0,268270108;3,148063139;3,167228219
2,777027667;0,263737237;0,18802789;3,159548825;3,176107775
2,787111667;0,393859018;0,072606923;3,094577488;3,120385637
2,797195667;0,279815326;-0,196375814;3,069756643;3,08873209
2,807279667;0,044154253;-0,52863288;3,096256224;3,141369912
2,817363667;-0,342007956;-0,918488236;2,844568673;3,008680943
2,827447667;-0,880854241;-1,266642712;2,436623055;2,883993736
2,837531667;-1,261305373;-1,442555464;1,892893395;2,693492699
2,847615667;-1,367330888;-1,418790772;1,085512197;2,249643914
2,857699667;-1,281601936;-1,200690651;0,403349122;1,801902349
2,867783667;-1,100003425;-1,016584488;-0,217926897;1,513586366
2,877867667;-0,976402495;-0,864761972;-0,820783601;1,541058345
2,887951667;-0,913373603;-0,836380903;-1,002665337;1,59346231
2,898035667;-0,902605444;-0,850700442;-0,926258016;1,548012191
2,908119667;-1,076257882;-0,824466763;-0,740578514;1,54484077
2,918203667;-1,097986866;-0,973730975;-0,704674855;1,627972304
2,928287667;-0,923231351;-1,221140118;-0,615295486;1,649887224
2,938371667;-0,75145068;-1,286836656;-0,277463247;1,515787768
2,948456667;-0,527792014;-1,316107817;-0,286666179;1,446679541
